member_id,full_name,nationality,gender,date_of_birth,age,height_cm,weight_kg,address,emergency_contact,join_date,subscription_plan,plan_duration_months,amount_paid,payment_method,renewal_date,subscription_end_date,membership_status,trainer_type
1025,Ethan Orr,Chinese,Male,1998-10-14,27,163,57,"GRA, Ilorin",001-157-286-0637x2148,2024-08-07,6 Months,6,75000,POS,2025-02-03,2025-02-10,Grace,None
1026,Jeremy Smith,Nigerian,Male,1983-10-27,42,163,81,"GRA, Ilorin",9814399619,2024-02-11,Individual (1 Month),1,18000,Transfer,2024-03-12,2024-03-05,Grace,General
1027,Robert Gonzalez,Nigerian,Male,1985-12-06,40,191,105,"GRA, Ilorin",+1-184-819-2736x649,2025-10-08,Individual (2 Months),2,33000,POS,2025-12-07,2025-11-30,Active,General
1028,Peter Gonzales,Nigerian,Male,1973-03-30,52,181,58,"GRA, Ilorin",846-908-9354,2025-11-27,1 Year,12,120000,POS,2026-11-22,2026-11-22,Active,None
1029,Derek Sharp,Nigerian,Male,2006-12-29,19,194,69,"GRA, Ilorin",(775)385-3068x4443,2024-01-30,6 Months,6,75000,Transfer,2024-07-28,2024-07-21,Expired,None
1030,Christopher Beck,Nigerian,Male,1981-03-26,44,181,113,"GRA, Ilorin",811.588.3665,2024-11-20,Individual (2 Months),2,33000,Transfer,2025-01-19,2025-01-12,Grace,Personal
1031,Katherine Oconnor,Chinese,Female,1991-09-02,34,191,99,"GRA, Ilorin",001-699-024-7729x7337,2024-01-04,Couple (1 Month),1,34000,POS,2024-02-03,2024-02-03,Grace,General
1032,Darren Johnson,Nigerian,Male,1970-12-11,55,177,82,"GRA, Ilorin",814.471.9762x03171,2025-08-21,3 Months,3,45000,Transfer,2025-11-19,2025-11-19,Active,General
1033,Michael Fritz,Lebanese,Male,2001-04-17,24,160,116,"GRA, Ilorin",349.158.3314x262,2024-06-02,6 Months,6,75000,POS,2024-11-29,2024-11-22,Expired,General
1034,Angel Rose,Nigerian,Male,1974-08-21,51,162,57,"GRA, Ilorin",739.699.9984,2025-06-08,3 Months,3,45000,Transfer,2025-09-06,2025-09-13,Active,General
1035,Gregory Nelson,Nigerian,Male,1972-02-02,53,158,116,"GRA, Ilorin",403-020-8000x57676,2025-05-20,4 People (1 Month),1,58000,POS,2025-06-19,2025-07-03,Active,General
1036,Michael Patterson,Nigerian,Male,2003-10-25,22,193,78,"GRA, Ilorin",001-944-275-7981x27284,2025-05-11,Individual (2 Months),2,33000,Transfer,2025-07-10,2025-07-17,Active,None
1037,Dr. Chad Perez,Nigerian,Male,1983-02-27,42,181,106,"GRA, Ilorin",256.657.6538x21340,2025-10-03,4 People (1 Month),1,58000,POS,2025-11-02,2025-11-09,Active,General
1038,Crystal Ramirez,Nigerian,Female,1973-07-15,52,161,93,"GRA, Ilorin",(374)598-1704x55314,2025-11-02,Individual (2 Months),2,33000,Transfer,2026-01-01,2026-01-01,Active,General
1039,Luke Glass,Nigerian,Male,2004-06-18,21,166,113,"GRA, Ilorin",(292)996-8854x288,2024-03-23,Individual (1 Month),1,18000,Transfer,2024-04-22,2024-04-22,Expired,Personal
1040,Chad Poole,Nigerian,Male,1968-08-13,57,172,55,"GRA, Ilorin",(817)449-0830x802,2024-12-04,6 Months,6,75000,POS,2025-06-02,2025-06-02,Active,General
1041,Dylan Jackson,Chinese,Male,1989-03-19,36,193,86,"GRA, Ilorin",+1-015-220-1825x576,2025-01-09,1 Year,12,120000,POS,2026-01-04,2026-01-04,Active,General
1042,Ryan Gregory,Nigerian,Male,2002-02-15,23,160,110,"GRA, Ilorin",+1-729-448-9925x92720,2024-06-24,4 People (1 Month),1,58000,POS,2024-07-24,2024-07-24,Expired,General
1043,Kelly Anderson,Nigerian,Female,1980-09-18,45,173,65,"GRA, Ilorin",+1-718-697-1286x070,2024-04-20,Individual (1 Month),1,18000,POS,2024-05-20,2024-05-27,Grace,None
1044,Debbie Bentley,Nigerian,Female,2000-07-02,25,158,113,"GRA, Ilorin",5436635770,2025-11-25,Individual (1 Month),1,18000,POS,2025-12-25,2026-01-01,Active,General
1045,Ian Rodriguez,Nigerian,Male,1990-04-13,35,169,113,"GRA, Ilorin",470-825-4732x044,2024-12-12,Couple (1 Month),1,34000,POS,2025-01-11,2025-01-18,Grace,General
1046,Erin Allen,Nigerian,Female,1991-12-02,34,168,74,"GRA, Ilorin",(555)054-1629,2025-01-08,Couple (1 Month),1,34000,Transfer,2025-02-07,2025-02-21,Grace,Personal
1047,Terry Jones,Nigerian,Male,1976-10-21,49,182,94,"GRA, Ilorin",(429)630-5615x638,2024-01-16,1 Year,12,120000,Transfer,2025-01-10,2025-01-17,Expired,General
1048,Nicole Lamb,Nigerian,Female,1996-03-28,29,150,65,"GRA, Ilorin",001-003-280-4193x9010,2025-09-07,1 Year,12,120000,Transfer,2026-09-02,2026-09-09,Active,General
1049,Erik Stanley,Lebanese,Male,1965-03-20,60,172,85,"GRA, Ilorin",(193)741-5040x0075,2024-08-20,1 Year,12,120000,POS,2025-08-15,2025-08-15,Active,None
1050,Nicholas Gomez,Nigerian,Male,1984-02-07,41,165,114,"GRA, Ilorin",4683682144,2025-10-20,1 Year,12,120000,Transfer,2026-10-15,2026-10-22,Active,General
1051,Connie Torres,Nigerian,Female,1997-08-27,28,161,91,"GRA, Ilorin",+1-211-402-9561x513,2024-07-18,4 People (1 Month),1,58000,Transfer,2024-08-17,2024-08-31,Expired,None
1052,Joseph Coffey,Nigerian,Male,1997-07-04,28,190,73,"GRA, Ilorin",755.307.3413x09224,2024-05-12,3 Months,3,45000,Transfer,2024-08-10,2024-08-03,Expired,Personal
1053,Andrea Kelly,Nigerian,Female,1988-05-01,37,173,108,"GRA, Ilorin",158-531-9804,2025-10-13,Couple (1 Month),1,34000,POS,2025-11-12,2025-11-05,Active,None
1054,John Sanford,Nigerian,Male,1967-11-24,58,160,90,"GRA, Ilorin",001-105-829-7751x4620,2025-02-23,4 People (1 Month),1,58000,Transfer,2025-03-25,2025-03-18,Expired,None
1055,Daniel Villa,Nigerian,Male,1978-02-11,47,184,79,"GRA, Ilorin",148.655.3681,2024-06-01,Couple (1 Month),1,34000,Transfer,2024-07-01,2024-06-24,Grace,General
1056,Kenneth Brown,Nigerian,Male,1984-12-28,41,167,108,"GRA, Ilorin",(993)782-0928x34875,2025-01-31,Individual (1 Month),1,18000,Transfer,2025-03-02,2025-03-02,Expired,General
1057,Jo Carroll,Nigerian,Female,1998-05-29,27,185,87,"GRA, Ilorin",+1-734-692-4439,2024-07-28,Couple (1 Month),1,34000,Transfer,2024-08-27,2024-09-10,Expired,General
1058,John Vega,Nigerian,Male,1990-01-05,35,169,62,"GRA, Ilorin",426-540-8653,2025-07-22,6 Months,6,75000,Transfer,2026-01-18,2026-01-11,Active,None
1059,Elijah Campos,Nigerian,Male,1980-01-14,45,182,102,"GRA, Ilorin",686-922-3467x9226,2025-06-23,6 Months,6,75000,Transfer,2025-12-20,2026-01-03,Active,General
1060,Christopher Wallace,Nigerian,Male,1966-08-07,59,171,84,"GRA, Ilorin",(607)355-5452x83544,2025-06-27,4 People (1 Month),1,58000,POS,2025-07-27,2025-07-27,Active,None
1061,Robert Hall,Nigerian,Male,2002-05-27,23,157,81,"GRA, Ilorin",001-178-113-9777x498,2025-01-08,1 Year,12,120000,POS,2026-01-03,2026-01-03,Active,General
1062,Gary Thomas,Chinese,Male,1991-11-18,34,182,82,"GRA, Ilorin",764.228.9786x3067,2024-02-20,4 People (1 Month),1,58000,Transfer,2024-03-21,2024-03-21,Expired,Personal
1063,Tina Carr,Nigerian,Female,1991-02-01,34,168,58,"GRA, Ilorin",724.214.2017,2024-10-10,6 Months,6,75000,Transfer,2025-04-08,2025-04-01,Grace,General
1064,Jason Bryan,Nigerian,Male,1993-06-03,32,166,98,"GRA, Ilorin",+1-298-397-0731x35106,2024-04-27,4 People (1 Month),1,58000,Transfer,2024-05-27,2024-05-20,Expired,None
1065,Michelle Ayers,Nigerian,Female,1975-03-03,50,155,91,"GRA, Ilorin",(112)681-6542x4240,2024-07-01,1 Year,12,120000,Transfer,2025-06-26,2025-06-19,Active,None
1066,Joseph Perez,Nigerian,Male,1981-05-16,44,180,114,"GRA, Ilorin",+1-341-251-2567x4749,2024-05-27,3 Months,3,45000,Transfer,2024-08-25,2024-08-18,Grace,None
1067,Kurt Cunningham,Nigerian,Male,1972-12-07,53,170,86,"GRA, Ilorin",+1-436-038-1288,2024-01-28,3 Months,3,45000,POS,2024-04-27,2024-05-04,Expired,None
1068,Christian Frazier,Nigerian,Male,1970-09-12,55,167,79,"GRA, Ilorin",+1-993-870-8552x5269,2024-12-05,Individual (2 Months),2,33000,Transfer,2025-02-03,2025-02-03,Grace,General
1069,Deborah Torres DDS,Nigerian,Female,1976-03-26,49,152,100,"GRA, Ilorin",(372)996-0571x80714,2024-09-26,Individual (2 Months),2,33000,POS,2024-11-25,2024-11-18,Expired,General
1070,Bobby Richards,Nigerian,Male,1971-06-02,54,171,77,"GRA, Ilorin",519-538-7933x82173,2024-09-24,1 Year,12,120000,POS,2025-09-19,2025-09-26,Active,General
1071,Matthew Esparza,Nigerian,Male,2001-08-01,24,151,71,"GRA, Ilorin",007.346.7910x94495,2025-10-11,1 Year,12,120000,Transfer,2026-10-06,2026-10-13,Active,None
1072,Gregory French MD,Nigerian,Male,1984-02-01,41,188,96,"GRA, Ilorin",001-632-132-6312,2024-01-30,Individual (2 Months),2,33000,Transfer,2024-03-30,2024-04-06,Expired,None
1073,Stephanie Rios,Nigerian,Female,1970-05-06,55,174,78,"GRA, Ilorin",6987444310,2024-09-14,Individual (1 Month),1,18000,POS,2024-10-14,2024-10-28,Grace,None
1074,Sergio Richardson,Nigerian,Male,2003-01-02,22,185,99,"GRA, Ilorin",6302689635,2024-11-13,Couple (1 Month),1,34000,Transfer,2024-12-13,2024-12-27,Expired,General
1075,Eddie Young,Nigerian,Male,1995-07-16,30,165,68,"GRA, Ilorin",(854)052-7148x15007,2024-08-04,6 Months,6,75000,POS,2025-01-31,2025-02-14,Grace,None
1076,Michael Johnson,Nigerian,Male,1978-01-20,47,177,86,"GRA, Ilorin",001-549-892-5749,2025-07-23,1 Year,12,120000,POS,2026-07-18,2026-07-18,Active,General
1077,William Gill,Nigerian,Male,1974-07-11,51,174,112,"GRA, Ilorin",960-223-4411,2025-08-14,Individual (2 Months),2,33000,POS,2025-10-13,2025-10-13,Active,General
1078,Corey Combs,Nigerian,Male,1997-07-01,28,171,103,"GRA, Ilorin",467-184-9756,2025-10-20,6 Months,6,75000,Transfer,2026-04-18,2026-05-02,Active,General
1079,Megan Garrison,Nigerian,Female,1968-07-22,57,192,114,"GRA, Ilorin",(006)408-1580x24731,2024-03-12,1 Year,12,120000,Transfer,2025-03-07,2025-03-14,Grace,General
1080,Ashley Taylor,Lebanese,Female,1993-04-06,32,193,59,"GRA, Ilorin",(216)601-0653,2024-04-19,Individual (1 Month),1,18000,POS,2024-05-19,2024-06-02,Expired,General
1081,Melissa Mills,Nigerian,Female,1987-07-16,38,181,101,"GRA, Ilorin",+1-203-783-1972x2060,2025-01-16,3 Months,3,45000,Transfer,2025-04-16,2025-04-16,Expired,Personal
1082,Benjamin Owens,Nigerian,Male,1972-10-13,53,165,67,"GRA, Ilorin",7982583706,2025-07-26,1 Year,12,120000,Transfer,2026-07-21,2026-07-28,Active,None
1083,Holly Vazquez,Lebanese,Female,1992-05-04,33,168,71,"GRA, Ilorin",001-978-175-4391x65857,2025-09-23,Individual (2 Months),2,33000,Transfer,2025-11-22,2025-11-29,Active,General
1084,Mark Lara,Nigerian,Male,2000-01-17,25,175,116,"GRA, Ilorin",+1-087-303-0223x130,2024-09-11,6 Months,6,75000,Transfer,2025-03-10,2025-03-24,Grace,None
1085,Connor Andersen,Nigerian,Male,1978-05-17,47,150,112,"GRA, Ilorin",722.484.9971x6706,2025-09-18,1 Year,12,120000,Transfer,2026-09-13,2026-09-06,Active,None
1086,Alejandro Brewer,Chinese,Male,1965-06-19,60,181,102,"GRA, Ilorin",001-452-314-2401x87691,2025-10-25,1 Year,12,120000,Transfer,2026-10-20,2026-11-03,Active,General
1087,Lisa Skinner,Chinese,Female,1981-01-25,44,150,70,"GRA, Ilorin",183-558-3848,2025-01-28,Couple (1 Month),1,34000,Transfer,2025-02-27,2025-03-13,Expired,General
1088,Ronald Powell,Nigerian,Male,2006-12-14,19,154,76,"GRA, Ilorin",422-393-2727x623,2025-11-22,Individual (2 Months),2,33000,Transfer,2026-01-21,2026-01-14,Active,Personal
1089,Steve Whitehead,Lebanese,Male,1978-02-28,47,175,70,"GRA, Ilorin",240-275-3266,2025-01-20,1 Year,12,120000,Transfer,2026-01-15,2026-01-15,Active,General
1090,Joe Lee,Nigerian,Male,2006-11-22,19,178,101,"GRA, Ilorin",+1-980-905-5127x7028,2025-09-06,Individual (2 Months),2,33000,POS,2025-11-05,2025-11-05,Active,General
1091,Michelle Montgomery,Nigerian,Female,2006-03-04,19,154,70,"GRA, Ilorin",(949)538-6472x3986,2024-03-10,Individual (2 Months),2,33000,Transfer,2024-05-09,2024-05-16,Grace,General
1092,James Hill,Nigerian,Male,1987-04-07,38,188,87,"GRA, Ilorin",001-884-197-2551x699,2025-10-29,3 Months,3,45000,Transfer,2026-01-27,2026-02-10,Active,General
1093,Jonathan Ross,Lebanese,Male,1994-04-09,31,159,88,"GRA, Ilorin",092-028-1259x469,2025-11-08,6 Months,6,75000,Transfer,2026-05-07,2026-05-14,Active,General
1094,Wyatt Ellison,Nigerian,Male,1969-01-01,56,168,112,"GRA, Ilorin",870-836-1140x50844,2024-07-26,3 Months,3,45000,Transfer,2024-10-24,2024-10-17,Expired,General
1095,Charles Tanner,Nigerian,Male,1968-10-23,57,194,58,"GRA, Ilorin",4183722269,2025-07-14,4 People (1 Month),1,58000,Transfer,2025-08-13,2025-08-20,Active,Personal
1096,Michele Jones,Lebanese,Female,1971-09-23,54,151,86,"GRA, Ilorin",(535)067-7542x2437,2024-01-01,6 Months,6,75000,POS,2024-06-29,2024-07-13,Grace,None
1097,Marco Baker,Nigerian,Male,1973-10-02,52,184,87,"GRA, Ilorin",+1-083-915-3442x512,2025-07-26,4 People (1 Month),1,58000,Transfer,2025-08-25,2025-09-01,Active,General
1098,Jeff Reyes,Nigerian,Male,1985-12-02,40,186,66,"GRA, Ilorin",(897)374-8734x5181,2024-08-24,4 People (1 Month),1,58000,POS,2024-09-23,2024-09-23,Grace,General
1099,Janice Huynh,Nigerian,Female,1970-02-16,55,159,97,"GRA, Ilorin",5453840314,2024-09-18,6 Months,6,75000,Transfer,2025-03-17,2025-03-24,Grace,General
1100,Jason Thomas,Nigerian,Male,1977-07-16,48,180,100,"GRA, Ilorin",491-901-4359x474,2024-01-20,4 People (1 Month),1,58000,POS,2024-02-19,2024-02-26,Expired,General
1101,Brian Williams,Nigerian,Male,1994-03-28,31,184,62,"GRA, Ilorin",3543344187,2025-08-22,6 Months,6,75000,Transfer,2026-02-18,2026-02-11,Active,General
1102,Michael Wilkins,Chinese,Male,1983-12-18,42,183,61,"GRA, Ilorin",001-932-553-4456x638,2025-06-26,4 People (1 Month),1,58000,Transfer,2025-07-26,2025-07-26,Active,General
1103,David Andrews,Nigerian,Male,1981-05-07,44,194,83,"GRA, Ilorin",+1-937-447-9863,2024-07-14,3 Months,3,45000,Transfer,2024-10-12,2024-10-05,Grace,General
1104,Isaac Jones,Nigerian,Male,1965-11-20,60,185,64,"GRA, Ilorin",(071)737-2400x572,2024-12-24,3 Months,3,45000,Transfer,2025-03-24,2025-03-31,Grace,General
1105,Derek Sparks,Chinese,Male,2003-01-27,22,184,103,"GRA, Ilorin",189.467.5961x7477,2024-08-14,Individual (2 Months),2,33000,Transfer,2024-10-13,2024-10-06,Grace,Personal
1106,Caleb Brown,Nigerian,Male,2004-12-22,21,188,78,"GRA, Ilorin",(574)763-0291x15970,2024-08-19,Individual (1 Month),1,18000,Transfer,2024-09-18,2024-09-18,Grace,None
1107,David Barton,Lebanese,Male,1971-10-04,54,161,109,"GRA, Ilorin",+1-810-546-4007x53119,2025-05-12,3 Months,3,45000,Transfer,2025-08-10,2025-08-10,Active,None
1108,Leslie Thompson,Nigerian,Female,1983-07-02,42,190,84,"GRA, Ilorin",(982)514-1043x68667,2024-01-29,1 Year,12,120000,Transfer,2025-01-23,2025-01-30,Grace,None
1109,Anthony Moore,Nigerian,Male,1989-05-11,36,174,67,"GRA, Ilorin",001-675-462-1074x41304,2024-03-31,Couple (1 Month),1,34000,Transfer,2024-04-30,2024-05-14,Grace,None
1110,Andrew Johnson,Lebanese,Male,1972-10-24,53,161,115,"GRA, Ilorin",(938)278-2325,2024-09-25,Couple (1 Month),1,34000,Transfer,2024-10-25,2024-11-08,Grace,None
1111,Kevin Hinton,Lebanese,Male,1976-11-24,49,156,82,"GRA, Ilorin",+1-856-300-1206x1627,2025-03-27,3 Months,3,45000,Transfer,2025-06-25,2025-06-18,Active,None
1112,Pamela Chapman,Nigerian,Female,1981-12-25,44,168,70,"GRA, Ilorin",001-171-269-7079x356,2024-06-29,Individual (2 Months),2,33000,POS,2024-08-28,2024-09-04,Expired,General
1113,Randy Ferguson,Nigerian,Male,1985-11-10,40,174,106,"GRA, Ilorin",480-911-8212x844,2025-07-18,Individual (1 Month),1,18000,POS,2025-08-17,2025-08-24,Active,Personal
1114,Jennifer Oneal,Nigerian,Female,1990-08-13,35,172,70,"GRA, Ilorin",(072)430-7458x4764,2025-01-22,3 Months,3,45000,Transfer,2025-04-22,2025-04-15,Expired,None
1115,William Ponce,Nigerian,Male,2006-01-15,19,191,112,"GRA, Ilorin",+1-160-500-8726x6249,2024-11-12,6 Months,6,75000,Transfer,2025-05-11,2025-05-04,Grace,General
1116,Miguel Roberts,Chinese,Male,2005-06-01,20,154,89,"GRA, Ilorin",001-280-290-1750x591,2024-10-14,Individual (1 Month),1,18000,Transfer,2024-11-13,2024-11-20,Grace,None
1117,Christopher Gardner,Nigerian,Male,1969-08-03,56,167,63,"GRA, Ilorin",460.659.3861x40890,2024-07-14,Couple (1 Month),1,34000,POS,2024-08-13,2024-08-13,Grace,None
1118,Mr. Gerald Dodson PhD,Nigerian,Male,1976-09-27,49,187,61,"GRA, Ilorin",8711622642,2025-07-24,Couple (1 Month),1,34000,POS,2025-08-23,2025-09-06,Active,General
1119,Andrew Hogan,Nigerian,Male,1972-06-07,53,158,104,"GRA, Ilorin",(096)780-5893x5412,2024-03-07,6 Months,6,75000,Transfer,2024-09-03,2024-09-17,Expired,None
1120,James Fowler,Nigerian,Male,1988-11-19,37,178,91,"GRA, Ilorin",435-338-3316,2025-05-17,1 Year,12,120000,POS,2026-05-12,2026-05-12,Active,General
1121,Robert Cohen,Nigerian,Male,1988-03-13,37,194,119,"GRA, Ilorin",(439)230-9122,2024-01-04,Individual (2 Months),2,33000,POS,2024-03-04,2024-03-04,Grace,None
1122,Andrew Banks,Nigerian,Male,1996-05-01,29,156,99,"GRA, Ilorin",929.776.4804,2024-07-31,Individual (2 Months),2,33000,Transfer,2024-09-29,2024-10-06,Grace,None
1123,Mr. David Macias,Chinese,Male,1972-02-25,53,180,73,"GRA, Ilorin",(450)283-1679x01764,2024-02-01,6 Months,6,75000,POS,2024-07-30,2024-08-06,Expired,None
1124,Dustin Martin,Nigerian,Male,1974-12-26,51,176,73,"GRA, Ilorin",001-381-042-3064x2753,2024-02-15,1 Year,12,120000,POS,2025-02-09,2025-02-02,Expired,General
1125,Cody Smith,Nigerian,Male,1974-12-02,51,162,112,"GRA, Ilorin",+1-610-693-6791x94499,2025-03-19,Individual (2 Months),2,33000,Transfer,2025-05-18,2025-05-11,Expired,Personal
1126,Brittney Humphrey,Nigerian,Female,1989-04-13,36,190,93,"GRA, Ilorin",001-719-659-8363x1482,2025-09-14,4 People (1 Month),1,58000,Transfer,2025-10-14,2025-10-14,Active,Personal
1127,Richard Black,Chinese,Male,1983-08-02,42,174,110,"GRA, Ilorin",(182)910-1928x320,2024-10-24,4 People (1 Month),1,58000,Transfer,2024-11-23,2024-11-16,Grace,General
1128,Dominic Moran,Nigerian,Male,1984-12-04,41,193,99,"GRA, Ilorin",001-670-455-2704x94798,2025-04-26,Individual (2 Months),2,33000,Transfer,2025-06-25,2025-06-18,Active,None
1129,David Thomas,Nigerian,Male,1999-09-06,26,170,90,"GRA, Ilorin",483-553-0795,2025-09-17,6 Months,6,75000,Transfer,2026-03-16,2026-03-09,Active,General
1130,Brooke Walker DDS,Chinese,Female,1994-11-07,31,167,101,"GRA, Ilorin",725.110.4594x606,2024-01-10,4 People (1 Month),1,58000,POS,2024-02-09,2024-02-16,Grace,Personal
1131,James Harris,Nigerian,Male,1976-08-13,49,180,55,"GRA, Ilorin",+1-812-450-1881x18765,2025-08-10,Individual (2 Months),2,33000,Transfer,2025-10-09,2025-10-02,Active,Personal
1132,Adam Adams,Nigerian,Male,2007-08-02,18,165,111,"GRA, Ilorin",218-605-5222x2602,2025-07-29,3 Months,3,45000,POS,2025-10-27,2025-10-20,Active,None
1133,Emily Hernandez,Nigerian,Female,1993-10-29,32,165,78,"GRA, Ilorin",001-142-875-0740x73778,2024-06-25,3 Months,3,45000,Transfer,2024-09-23,2024-09-30,Grace,Personal
1134,Brandon White,Nigerian,Male,1989-04-06,36,177,90,"GRA, Ilorin",036-117-6827x2600,2025-05-12,Individual (2 Months),2,33000,Transfer,2025-07-11,2025-07-11,Active,General
1135,Richard Martin,Lebanese,Male,1966-06-14,59,177,95,"GRA, Ilorin",018-392-6721x610,2024-05-01,6 Months,6,75000,Transfer,2024-10-28,2024-10-21,Expired,General
1136,Jon Molina,Nigerian,Male,2002-07-12,23,166,87,"GRA, Ilorin",204-150-3128x27461,2024-11-24,1 Year,12,120000,Transfer,2025-11-19,2025-11-12,Active,General
1137,Andrew Foster,Nigerian,Male,1965-10-05,60,178,67,"GRA, Ilorin",426-924-7597x3022,2025-01-07,Individual (2 Months),2,33000,Transfer,2025-03-08,2025-03-01,Grace,None
1138,Tammy Watts,Nigerian,Female,1970-09-15,55,167,101,"GRA, Ilorin",001-587-181-9033x945,2025-07-24,4 People (1 Month),1,58000,POS,2025-08-23,2025-08-16,Active,None
1139,Timothy Martin,Nigerian,Male,1996-08-22,29,179,59,"GRA, Ilorin",(229)618-1223x9411,2024-01-22,Individual (2 Months),2,33000,Transfer,2024-03-22,2024-03-22,Grace,General
1140,Jorge Smith,Chinese,Male,2002-08-18,23,150,72,"GRA, Ilorin",(187)524-3109,2025-07-01,3 Months,3,45000,Transfer,2025-09-29,2025-10-13,Active,None
1141,Erik Reilly,Nigerian,Male,1997-02-18,28,170,80,"GRA, Ilorin",001-455-885-9123,2025-03-21,4 People (1 Month),1,58000,Transfer,2025-04-20,2025-04-13,Expired,General
1142,Sherry Tran,Nigerian,Female,1979-07-13,46,176,103,"GRA, Ilorin",001-859-879-7813x224,2024-09-21,3 Months,3,45000,Transfer,2024-12-20,2024-12-13,Grace,None
